base_model,sae_config,l0,r2_recon,alive_features_l3,dict_sizes,top_k_values,coherence_score,specificity_score,top10_coherence_mean,top50_coherence_mean,top10_specificity_mean,top50_specificity_mean,M_config,monosemanticity_top50_mean,mean_sparse_roc_auc,mean_dense_roc_auc,n_targets_kept,mean_n_features_50pct,mean_n_features_60pct,mean_n_features_70pct,mean_n_features_80pct,mean_n_features_90pct,mean_n_features_100pct,mean_roc_auc_n1,mean_roc_auc_n2,mean_roc_auc_n3,mean_roc_auc_n5,mean_roc_auc_n10,mean_roc_auc_n20,mean_roc_auc_n30,mean_roc_auc_n50,mean_roc_auc_n75,mean_roc_auc_n100
biomedparse,D_64_256_1024_4096_K_10_20_40_80,66.81074523925781,0.9187162518501282,1171.912841796875,64_256_1024_4096,10_20_40_80,0.1185355118627191,0.1781952860450177,0.8190203276607724,0.7080344412078459,0.7990018046039515,0.5813527921654019,0.579479755389366,0.2919328908109982,0.8082486368112434,0.93002512687659,29,1.0,8.517241379310345,16.655172413793103,41.03448275862069,74.55172413793103,98.27586206896552,0.6530323227021515,0.6855324605674433,0.7109959471813126,0.7245412365528604,0.7536154099977687,0.7661220881140463,0.7721306009510951,0.7777966494578918,0.7800696506857409,0.7820782454808833
biomedparse,D_64_256_1024_4096_K_20_20_20_20,19.3084774017334,0.8926101922988892,187.02891540527344,64_256_1024_4096,20_20_20_20,0.1184708294621638,0.1709799768882655,0.7237863275408745,0.5466050119863616,0.5648975305415312,0.3476974108741637,0.3423942432947068,0.1381539368683827,0.7675613973750296,0.93002512687659,29,1.0,1.4827586206896552,9.275862068965518,34.51724137931034,79.62068965517241,96.58620689655172,0.6523597797649614,0.7037286598694347,0.7186897651809327,0.7514728621282064,0.7719296772057002,0.776393429980882,0.7742398901542331,0.7743317516193238,0.7764656401993857,0.7758050729054986
biomedparse,D_64_256_1024_4096_K_20_40_80_160,127.13488006591795,0.930123209953308,1693.5760498046875,64_256_1024_4096,20_40_80_160,0.1003062388840312,0.1718548219083479,0.8048598625262577,0.6886633403326075,0.7650615055897723,0.5456155400273398,0.5764000460754314,0.2649126844155667,0.8072232649696093,0.93002512687659,29,1.0344827586206895,1.4827586206896552,11.93103448275862,29.41379310344828,70.58620689655173,92.6206896551724,0.6458119139405014,0.7070825589058266,0.7316109221650989,0.7467236020011401,0.7686544091247455,0.7853908921377412,0.7753117428800327,0.7859765096480374,0.804211323230985,0.7902450237587847
biomedparse,D_64_256_1024_4096_K_30_30_30_30,28.046283721923828,0.8967922925949097,327.0090637207031,64_256_1024_4096,30_30_30_30,0.1243876726694447,0.1764723790583817,0.7380414647526211,0.634843035341137,0.6065339777711276,0.4115965767913003,0.3013238488608176,0.1695558490053473,0.8118529464686752,0.93002512687659,29,1.0344827586206895,1.206896551724138,8.862068965517242,22.41379310344828,66.62068965517241,96.72413793103448,0.6848052604549315,0.7196309084043192,0.7455852043511877,0.7630700158227064,0.7853451975990196,0.7936743145127628,0.7963133952138499,0.7976110293282437,0.7821407730866198,0.7813624948781654
biomedparse,D_64_256_1024_4096_K_30_60_120_240,202.49465942382807,0.9409701228141784,2043.8880615234373,64_256_1024_4096,30_60_120_240,0.1012032394486378,0.1689528439697705,0.8127591503659884,0.6801873652686674,0.7581656876180382,0.525037873426078,0.5438259017399669,0.2556253503818733,0.8364558684748322,0.93002512687659,29,1.0344827586206895,1.5172413793103448,9.79310344827586,24.03448275862069,74.13793103448276,91.20689655172414,0.6448994412433341,0.7177875532871264,0.729700704064019,0.7417267551014746,0.7723918432281272,0.7926821019512044,0.8020345122495054,0.8129077121629777,0.7986308434785754,0.8179033536693391
biomedparse,D_64_256_1024_4096_K_5_10_20_40,32.340457916259766,0.9099975228309632,730.2841796875,64_256_1024_4096,5_10_20_40,0.1182331162706802,0.1750175953227152,0.7802405811018415,0.6859524713125493,0.6980588260952116,0.4938776931422587,0.4241604633046709,0.2148548994512306,0.7946977952432612,0.93002512687659,29,1.0,1.2413793103448276,17.448275862068964,55.03448275862069,76.17241379310344,93.48275862068964,0.6840656037756988,0.6972486831258025,0.712472016460939,0.7223699182437847,0.7422947529779189,0.7545062468124345,0.7592432242324885,0.7625967879083017,0.7645576389916774,0.7655408290175202
biomedparse,D_64_256_1024_4096_K_5_5_5_5,4.662977695465088,0.8945850729942322,37.64422225952149,64_256_1024_4096,5_5_5_5,0.1387031779263641,0.1709947382420473,0.5774181447509263,0.3091391351819038,0.3088582956139471,0.200012330744628,0.0923647863321129,0.0497968097359689,0.6935073453978208,0.93002512687659,29,1.0344827586206895,4.655172413793103,49.3448275862069,66.41379310344827,93.79310344827586,100.0,0.6129741905865251,0.6482346744578483,0.6711089537207319,0.6862443719682262,0.6753797672847768,0.6873863687095457,0.6744440240976517,0.6850437233297503,0.6851907186470262,0.6833067808031861
biomedparse_random,D_128_512_2048_8192_K_10_10_10_10,9.910968780517578,0.6577300429344177,51.14508819580078,128_512_2048_8192,10_10_10_10,0.1395296238452075,0.1659455124666725,0.4580608938303259,0.2640316314895947,0.3324533204128667,0.1745664700579417,0.0734879607617043,0.0402343853215657,0.6233882130246476,0.7347125569949243,24,1.0,1.4090909090909092,10.181818181818182,24.0,65.0909090909091,95.54545454545456,0.5720325582294437,0.5865061906579069,0.5888004426480442,0.6093854955232212,0.6087283982622324,0.6112134595158102,0.6113041140017607,0.6113328027051087,0.6113976862144839,0.6113976862144839
biomedparse_random,D_128_512_2048_8192_K_10_20_40_80,78.91578674316406,0.8256300687789917,351.8713073730469,128_512_2048_8192,10_20_40_80,0.1250769484794556,0.1911922486798206,0.6037611848778195,0.4419876261171367,0.7584711164083485,0.608766419729111,0.2079882835579865,0.1305653727443201,0.6447003999849533,0.7347125569949243,24,1.0,1.0833333333333333,5.291666666666667,18.75,49.25,95.875,0.6095827033302186,0.616048186702092,0.6159947625518617,0.6229550568995951,0.6242524595599642,0.6236125280356511,0.6311460178109818,0.6316371567219947,0.6316702319515463,0.6322045338503544
biomedparse_random,D_128_512_2048_8192_K_20_20_20_20,19.39204788208008,0.6746854782104492,92.40228271484376,128_512_2048_8192,20_20_20_20,0.1333825037781796,0.1633569243401806,0.532529850800832,0.3235584104259809,0.4831831798548754,0.228060920133802,0.0938741481163789,0.0546939215996014,0.6364003928469499,0.7347125569949243,24,1.0,1.0833333333333333,5.166666666666667,14.708333333333334,68.33333333333333,95.91666666666669,0.5929859338657697,0.615063878974112,0.615911611302436,0.6306221203137269,0.6332928161455246,0.63014664522772,0.6302419590876838,0.6290276364432413,0.6298442009412034,0.6298724415942317
biomedparse_random,D_128_512_2048_8192_K_20_40_80_160,157.0179901123047,0.8842716217041016,641.3595581054688,128_512_2048_8192,20_40_80_160,0.1135312200267964,0.2094257529785831,0.5924142586522632,0.466366598666542,0.7979183707180078,0.719872268170989,0.2590541142018622,0.1785815092121417,0.6561540894117454,0.7347125569949243,24,1.0,1.0,2.125,14.666666666666666,48.833333333333336,96.25,0.5764331427332424,0.6075336409344078,0.6148956580390459,0.615312820151188,0.6378763853081825,0.6402235905973447,0.6399427134001311,0.6416709328759156,0.6421933900092086,0.6421443897324877
biomedparse_random,D_128_512_2048_8192_K_30_30_30_30,29.83082389831543,0.7080767154693604,125.54812622070312,128_512_2048_8192,30_30_30_30,0.1205302766073426,0.1728472554575454,0.4695195829578571,0.3236556098370088,0.628069537774966,0.2788073909693721,0.0969491924940668,0.0574370267929248,0.6447758408748125,0.7347125569949243,24,1.0,1.0416666666666667,5.166666666666667,13.833333333333334,57.083333333333336,95.875,0.6058297642359127,0.6170506330888186,0.6160206091481771,0.6259776049981209,0.6342328125899794,0.6347570601501172,0.6362408779732384,0.6359320898877903,0.6360040857033832,0.6359141512855843
biomedparse_random,D_128_512_2048_8192_K_30_60_120_240,233.886947631836,0.9145774841308594,918.5667724609376,128_512_2048_8192,30_60_120_240,0.1091917059606969,0.211412240946799,0.618429661128256,0.5191350729821457,0.8125220431236906,0.7473365078732204,0.2604477633096109,0.1927039567331779,0.6513418216959258,0.7347125569949243,24,1.0,1.0,4.208333333333333,11.708333333333334,47.41666666666666,95.875,0.6170006607474389,0.6258160884809053,0.6236530559355536,0.6287931313307066,0.6275399772574461,0.6360284823069572,0.639213837153031,0.6401842323638589,0.642959811893698,0.6441800370364134
biomedparse_random,D_128_512_2048_8192_K_5_10_20_40,39.5482177734375,0.7675715684890747,185.6590881347656,128_512_2048_8192,5_10_20_40,0.1217104350015984,0.163397558280542,0.5698758355776469,0.3594007845612036,0.6179633713616937,0.2945175345942467,0.1027616978303501,0.063843091482047,0.641126514685127,0.7347125569949243,24,1.0,1.0416666666666667,8.25,18.25,48.0,95.875,0.6035967657634536,0.6141430834036358,0.6181589014936933,0.6277254772432015,0.6350786947278927,0.6347546549515665,0.6339294507371325,0.634400870255658,0.6345918326819439,0.6347014248319901
biomedparse_random,D_128_512_2048_8192_K_5_5_5_5,4.994597434997559,0.5872699022293091,22.431644439697266,128_512_2048_8192,5_5_5_5,0.1787358877550304,0.1682827836325131,0.4123923434731033,0.2879550970676873,0.2298880271820921,0.1682827836325131,0.0572717299009082,0.0429902456520554,0.6281540780743057,0.7347125569949243,24,1.0,1.0416666666666667,5.416666666666667,18.041666666666668,71.29166666666667,95.875,0.6066368006916223,0.6197554232953343,0.6238607043364887,0.6144172022286741,0.6256103593340726,0.6251953198369504,0.6253195197098066,0.6253195197098066,0.6253195197098066,0.6253195197098066
biomedparse_random,D_16_64_256_1024_K_10_10_10_10,9.69704818725586,0.6493434906005859,34.63221740722656,16_64_256_1024,10_10_10_10,0.1185897653095088,0.2239569260364793,0.3068409046323763,0.2284411667222465,0.4627487932429632,0.2239569260364793,0.0918148431879463,0.0475429136258148,0.6299411169870729,0.7347125569949243,24,1.0,1.0416666666666667,9.625,22.83333333333333,64.54166666666667,95.875,0.5891139926023513,0.6042974964479293,0.6021447788477864,0.62138995000501,0.6257981271317791,0.6156747580639017,0.6273399578098907,0.6274356498983991,0.6274356498983991,0.627435647955117
biomedparse_random,D_16_64_256_1024_K_10_20_40_80,79.791015625,0.7985188364982605,279.841552734375,16_64_256_1024,10_20_40_80,0.1143429651001424,0.2298518438658011,0.5545920623673334,0.3846054346172346,0.8077070747401717,0.649729235549262,0.258696857608481,0.1373766587317171,0.6472470540772555,0.7347125569949243,24,1.0,1.0,5.166666666666667,11.083333333333334,55.875,95.875,0.5975005461545629,0.621254976444203,0.6131410490320532,0.6208677319162712,0.632679564593892,0.6363645539694979,0.6389540886710284,0.6379287482021736,0.6388292630766327,0.6383115210558858
biomedparse_random,D_16_64_256_1024_K_5_10_20_40,39.730224609375,0.7491443157196045,156.3126678466797,16_64_256_1024,5_10_20_40,0.1254001845897287,0.184347271059925,0.5097610063933665,0.3358580300261577,0.6651029952984586,0.3325371330020537,0.1300214054519002,0.0691388903253417,0.6457503248501745,0.7347125569949243,24,1.0,1.0416666666666667,9.25,18.83333333333333,47.583333333333336,95.875,0.6112346091879747,0.6044929028333729,0.6123128575931442,0.6208732432465468,0.6258439837654494,0.630284364227272,0.6325325824526172,0.6328400435882168,0.6329969066643747,0.6331591289815636
