feature_idx,n_activating,n_ct,n_mri,n_male,n_female,mean_age
4467,18738,17283,1455,11630,6961,64.16615566672046
1710,7921,3980,3941,4124,2765,63.55639425170562
1271,12635,12605,30,7917,4690,65.33822479574839
83,20858,20856,2,12677,8013,63.78361527307878
476,11780,7974,3806,6440,4386,64.89682246443746
1469,11930,11905,25,7664,4191,61.852045550400675
1817,13991,13521,470,8715,5207,65.08605085476225
0,19571,19320,251,12730,6516,64.03715057674322
901,2625,381,2244,1288,799,65.00095831336847
1418,6484,5927,557,4126,2202,62.47550568900127
303,16704,16589,115,10287,6348,66.71728283739104
1950,3592,901,2691,1470,1361,64.54856941010243
1619,28058,27949,109,17529,10511,62.852603423680456
1608,25735,25705,30,14954,10541,63.31602274955873
18,3005,831,2174,1594,1053,65.67208160181337
247,22339,22314,25,13070,9138,64.42146974063401
1169,30612,30538,74,18810,11552,67.2683947039062
3807,4533,2350,2183,2370,1449,64.49489395129615
7758,15591,12820,2771,8404,6328,62.39519413521586
6700,5784,2768,3016,2899,2134,59.315914961255714
302,18255,18046,209,12317,5820,66.75017919170756
396,10680,10648,32,6152,4462,63.63783681929527
