k,reference_id,reference_slice,sparse_mean,sparse_std,sparse_min,sparse_max,dense_fp_mean,dense_fp_std,dense_fp_min,dense_fp_max
3,s0776,116,0.993758499622345,0.005895203445106745,0.9827413558959961,0.9990732073783875,0.993166446685791,0.004740211181342602,0.9866505861282349,0.998499870300293
5,s0776,116,0.9973400235176086,0.0030085754115134478,0.9913400411605835,0.9991165399551392,0.9973276257514954,0.0031610794831067324,0.9910096526145935,0.9990936517715454
10,s0776,116,0.9988231658935547,0.0004981106612831354,0.9978442788124084,0.9992075562477112,0.9986101388931274,0.0006050386582501233,0.9974799752235413,0.9992824196815491
20,s0776,116,0.999043345451355,0.00014390144497156143,0.9987781643867493,0.9992075562477112,0.9989445805549622,0.0002853972546290606,0.9985728859901428,0.9992824196815491
50,s0776,116,0.9990557432174683,0.00016128430434037,0.9987950325012207,0.9992824196815491,0.9991106986999512,0.0001870391279226169,0.9987760782241821,0.9992824196815491
100,s0776,116,0.9991277456283569,9.594667790224776e-05,0.9990113973617554,0.9992824196815491,0.9991920590400696,0.00010616231156745926,0.999019205570221,0.9993182420730591
1,s0773,99,0.9994457960128784,0.0003463002503849566,0.9988600015640259,0.999786376953125,0.9090558886528015,0.1642232984304428,0.5806891322135925,0.9966350793838501
2,s0773,99,0.9977984428405762,0.0034615194890648127,0.9909007549285889,0.9999057054519653,0.9991900324821472,0.00023176897957455367,0.9989012479782104,0.9995790719985962
3,s0773,99,0.9995118379592896,0.0005362663650885224,0.9984517693519592,0.9998838901519775,0.9994829297065735,0.00030794210033491254,0.9989469647407532,0.9997299313545227
5,s0773,99,0.9997224807739258,0.0001182776250061579,0.9995346069335938,0.9998859167098999,0.9997143745422363,6.67123167659156e-05,0.9995970726013184,0.9997855424880981
10,s0773,99,0.9997981786727905,0.0001315460103796795,0.999542236328125,0.9999057054519653,0.9998677372932434,5.7686036598170176e-05,0.9997543096542358,0.9999160766601562
20,s0773,99,0.9998836517333984,3.108369492110796e-05,0.9998286962509155,0.9999198913574219,0.9998738169670105,3.0766299460083246e-05,0.999839186668396,0.9999160766601562
50,s0773,99,0.999911904335022,7.034509508230258e-06,0.9999029040336609,0.9999201893806458,0.999906063079834,8.003108632692602e-06,0.9998980164527893,0.9999167323112488
100,s0773,99,0.9999089241027832,1.1863180588989053e-05,0.9998877644538879,0.9999201893806458,0.9999067187309265,7.112959792721085e-06,0.9998998641967773,0.9999159574508667
1,s0629,155,0.629202663898468,0.18259738385677338,0.5236859321594238,0.993893027305603,0.6454083919525146,0.21931467950344086,0.3724718987941742,0.9742452502250671
2,s0629,155,0.7501696348190308,0.2202913612127304,0.486917644739151,0.9872889518737793,0.972817599773407,0.012458845973014832,0.9573603272438049,0.9893451929092407
3,s0629,155,0.9764224290847778,0.024644648656249046,0.9304298162460327,0.9968830943107605,0.965623676776886,0.025425655767321587,0.9264493584632874,0.9925295114517212
